Model 1,Model 2,P-value,Statistic
SVM,ANN,0.38751908484905306,75.0
SVM,Baseline,0.5946154859354928,60.0
SVM,CNN,0.6184454660388145,69.0
ANN,Baseline,0.7746233321773479,95.0
ANN,CNN,0.7897969502669114,110.0
Baseline,CNN,1.0,39.0
