Evaluation,Model,Parameter,Accuracy
1,ANN,"model=1, neuron1=128, use_transfer_learning=True, use_svm=False, neuron2=200, learning_rate=clr, layers=8",0.8387096779000375
1,ANN,"learning_rate=decrease, model=1, layers=3, use_transfer_learning=True, use_svm=True, neuron2=100, neuron1=300",0.6451612903225806
1,ANN,"learning_rate=decrease, model=1, layers=3, use_transfer_learning=True, neuron2=100, use_svm=False, neuron1=300",0.6451612771038086
1,ANN,"model=1, layers=3, use_transfer_learning=True, use_svm=True, neuron2=100, learning_rate=clr, neuron1=300",0.7298387096774193
1,ANN,"model=1, layers=3, use_transfer_learning=True, neuron2=100, learning_rate=clr, use_svm=False, neuron1=300",0.6451612771038086
1,ANN,"learning_rate=decrease, model=1, use_transfer_learning=True, use_svm=True, layers=6, neuron2=100, neuron1=300",0.6451612903225806
1,ANN,"learning_rate=decrease, model=1, use_transfer_learning=True, layers=6, neuron2=100, use_svm=False, neuron1=300",0.6451612771038086
1,ANN,"model=1, use_transfer_learning=True, use_svm=True, layers=6, neuron2=100, learning_rate=clr, neuron1=300",0.8225806451612903
1,ANN,"model=1, use_transfer_learning=True, layers=6, neuron2=100, learning_rate=clr, use_svm=False, neuron1=300",0.8145161292725993
1,ANN,"learning_rate=decrease, model=1, use_transfer_learning=True, use_svm=True, neuron2=100, layers=8, neuron1=300",0.6451612903225806
1,ANN,"learning_rate=decrease, model=1, use_transfer_learning=True, use_svm=False, neuron2=100, layers=8, neuron1=300",0.6451612771038086
1,ANN,"model=1, use_transfer_learning=True, use_svm=True, neuron2=100, learning_rate=clr, layers=8, neuron1=300",0.8346774193548389
1,ANN,"model=1, use_transfer_learning=True, use_svm=False, neuron2=100, learning_rate=clr, layers=8, neuron1=300",0.8467742019603329
1,ANN,"learning_rate=decrease, model=1, layers=3, use_transfer_learning=True, use_svm=True, neuron2=200, neuron1=300",0.6451612903225806
1,ANN,"learning_rate=decrease, model=1, layers=3, use_transfer_learning=True, neuron2=200, use_svm=False, neuron1=300",0.6451612771038086
1,ANN,"model=1, layers=3, use_transfer_learning=True, use_svm=True, neuron2=200, learning_rate=clr, neuron1=300",0.7298387096774193
1,ANN,"model=1, layers=3, use_transfer_learning=True, neuron2=200, learning_rate=clr, use_svm=False, neuron1=300",0.6451612771038086
1,ANN,"learning_rate=decrease, model=1, use_transfer_learning=True, use_svm=True, layers=6, neuron2=200, neuron1=300",0.6451612903225806
1,ANN,"learning_rate=decrease, model=1, use_transfer_learning=True, layers=6, neuron2=200, use_svm=False, neuron1=300",0.6451612771038086
1,ANN,"model=1, use_transfer_learning=True, use_svm=True, layers=6, neuron2=200, learning_rate=clr, neuron1=300",0.8266129032258064
1,ANN,"model=1, use_transfer_learning=True, layers=6, neuron2=200, learning_rate=clr, use_svm=False, neuron1=300",0.8266129094746806
1,ANN,"learning_rate=decrease, model=1, use_transfer_learning=True, use_svm=True, neuron2=200, layers=8, neuron1=300",0.6451612903225806
1,ANN,"learning_rate=decrease, model=1, use_transfer_learning=True, use_svm=False, neuron2=200, layers=8, neuron1=300",0.6451612771038086
1,ANN,"model=1, use_transfer_learning=True, use_svm=True, neuron2=200, learning_rate=clr, layers=8, neuron1=300",0.8225806451612903
1,ANN,"model=1, use_transfer_learning=True, use_svm=False, neuron2=200, learning_rate=clr, layers=8, neuron1=300",0.8306451656164662
1,ANN,"learning_rate=decrease, model=2, neuron1=100, layers=3, use_transfer_learning=True, use_svm=True, neuron2=100",0.6451612771038086
1,ANN,"learning_rate=decrease, model=2, neuron1=100, layers=3, use_transfer_learning=True, neuron2=100, use_svm=False",0.6451612771038086
1,ANN,"model=2, neuron1=100, layers=3, use_transfer_learning=True, use_svm=True, neuron2=100, learning_rate=clr",0.7016128925306181
