Evaluation,Model,Parameter,Accuracy
1,ANN,"neuron1=60, layers=6, use_svm=True, learning_rate=decrease, neuron2=100, model=1, use_transfer_learning=True",0.8508064516129031
1,ANN,"neuron1=150, layers=6, use_svm=True, learning_rate=decrease, neuron2=100, model=1, use_transfer_learning=True",0.8669354838709677
1,ANN,"layers=6, use_svm=True, learning_rate=decrease, neuron1=200, neuron2=100, model=1, use_transfer_learning=True",0.846774193548387
1,ANN,"layers=6, neuron1=60, use_svm=True, model=2, learning_rate=decrease, neuron2=100, use_transfer_learning=True",0.7379032272484994
1,ANN,"layers=6, neuron1=150, use_svm=True, model=2, learning_rate=decrease, neuron2=100, use_transfer_learning=True",0.7580645197341519
1,ANN,"layers=6, use_svm=True, model=2, learning_rate=decrease, neuron1=200, neuron2=100, use_transfer_learning=True",0.7338709593299896
1,Baseline,,0.6451612903225806
1,CNN,"batch_size=32, number_of_layers=50, base_learning_rate=0.1",0.6612903252243996
1,CNN,"number_of_layers=100, batch_size=32, base_learning_rate=0.1",0.6169354782229469
1,CNN,"base_learning_rate=0.001, batch_size=32, number_of_layers=50",0.669354849284695
1,CNN,"base_learning_rate=0.001, number_of_layers=100, batch_size=32",0.6733870936497565
1,SVM,"gamma=1e-09, C=0.01, coef0=0, degree=2, kernel=rbf",0.6451612903225806
1,SVM,"coef0=0, C=0.01, gamma=1e-08, degree=2, kernel=rbf",0.6451612903225806
1,SVM,"coef0=0, C=0.01, gamma=1e-07, degree=2, kernel=rbf",0.6451612903225806
1,SVM,"C=0.01, coef0=0, degree=2, gamma=1e-06, kernel=rbf",0.6451612903225806
1,SVM,"coef0=0, C=0.01, gamma=1e-05, degree=2, kernel=rbf",0.6451612903225806
1,SVM,"C=0.01, coef0=0, degree=2, kernel=rbf, gamma=0.0001",0.6451612903225806
1,SVM,"coef0=0, C=0.01, gamma=0.001, degree=2, kernel=rbf",0.6451612903225806
1,SVM,"C=0.01, coef0=0, degree=2, kernel=rbf, gamma=0.01",0.6451612903225806
1,SVM,"coef0=0, C=0.01, gamma=0.1, degree=2, kernel=rbf",0.6451612903225806
1,SVM,"coef0=0, C=0.01, degree=2, kernel=rbf, gamma=1.0",0.6451612903225806
1,SVM,"gamma=10.0, coef0=0, C=0.01, degree=2, kernel=rbf",0.6451612903225806
1,SVM,"gamma=100.0, C=0.01, coef0=0, degree=2, kernel=rbf",0.6451612903225806
1,SVM,"gamma=1000.0, C=0.01, coef0=0, degree=2, kernel=rbf",0.6451612903225806
1,SVM,"gamma=1e-09, coef0=0, degree=2, kernel=rbf, C=0.1",0.6451612903225806
1,SVM,"coef0=0, gamma=1e-08, degree=2, kernel=rbf, C=0.1",0.6451612903225806
1,SVM,"coef0=0, gamma=1e-07, degree=2, kernel=rbf, C=0.1",0.6451612903225806
1,SVM,"coef0=0, degree=2, gamma=1e-06, kernel=rbf, C=0.1",0.6451612903225806
1,SVM,"coef0=0, gamma=1e-05, degree=2, kernel=rbf, C=0.1",0.6451612903225806
1,SVM,"coef0=0, degree=2, kernel=rbf, C=0.1, gamma=0.0001",0.6451612903225806
1,SVM,"coef0=0, gamma=0.001, degree=2, kernel=rbf, C=0.1",0.6451612903225806
1,SVM,"coef0=0, degree=2, kernel=rbf, C=0.1, gamma=0.01",0.6451612903225806
1,SVM,"coef0=0, gamma=0.1, degree=2, kernel=rbf, C=0.1",0.6451612903225806
1,SVM,"coef0=0, degree=2, kernel=rbf, C=0.1, gamma=1.0",0.6451612903225806
1,SVM,"gamma=10.0, coef0=0, degree=2, kernel=rbf, C=0.1",0.6451612903225806
1,SVM,"gamma=100.0, coef0=0, degree=2, kernel=rbf, C=0.1",0.6451612903225806
1,SVM,"gamma=1000.0, coef0=0, degree=2, kernel=rbf, C=0.1",0.6451612903225806
1,SVM,"gamma=1e-09, coef0=0, degree=2, kernel=rbf, C=1.0",0.6451612903225806
1,SVM,"coef0=0, gamma=1e-08, degree=2, kernel=rbf, C=1.0",0.6451612903225806
1,SVM,"coef0=0, gamma=1e-07, degree=2, kernel=rbf, C=1.0",0.6451612903225806
1,SVM,"coef0=0, degree=2, gamma=1e-06, kernel=rbf, C=1.0",0.6451612903225806
1,SVM,"coef0=0, gamma=1e-05, degree=2, kernel=rbf, C=1.0",0.6451612903225806
1,SVM,"coef0=0, degree=2, kernel=rbf, gamma=0.0001, C=1.0",0.6451612903225806
1,SVM,"coef0=0, gamma=0.001, degree=2, kernel=rbf, C=1.0",0.6451612903225806
1,SVM,"coef0=0, degree=2, kernel=rbf, gamma=0.01, C=1.0",0.6451612903225806
1,SVM,"coef0=0, gamma=0.1, degree=2, kernel=rbf, C=1.0",0.6451612903225806
1,SVM,"coef0=0, degree=2, kernel=rbf, gamma=1.0, C=1.0",0.6451612903225806
1,SVM,"gamma=10.0, coef0=0, degree=2, kernel=rbf, C=1.0",0.6451612903225806
1,SVM,"gamma=100.0, coef0=0, degree=2, kernel=rbf, C=1.0",0.6451612903225806
1,SVM,"gamma=1000.0, coef0=0, degree=2, kernel=rbf, C=1.0",0.6451612903225806
