Evaluation,Model,Parameter,Accuracy
1,ANN,"layers=6, use_transfer_learning=True, learning_rate=decrease, neuron1=200, neuron2=100, use_svm=True, model=1",0.35714285714285715
1,Baseline,,0.5
2,ANN,"layers=6, use_transfer_learning=True, learning_rate=decrease, neuron1=200, neuron2=100, use_svm=True, model=1",0.42857142857142855
2,Baseline,,0.5
3,ANN,"layers=6, use_transfer_learning=True, learning_rate=decrease, neuron1=200, neuron2=100, use_svm=True, model=1",0.5517241379310345
3,Baseline,,0.5517241379310345
4,ANN,"layers=6, use_transfer_learning=True, learning_rate=decrease, neuron1=200, neuron2=100, use_svm=True, model=1",0.6206896551724138
4,Baseline,,0.5517241379310345
5,ANN,"layers=6, use_transfer_learning=True, learning_rate=decrease, neuron1=200, neuron2=100, use_svm=True, model=1",0.6206896551724138
5,Baseline,,0.5517241379310345
6,ANN,"layers=6, use_transfer_learning=True, learning_rate=decrease, neuron1=200, neuron2=100, use_svm=True, model=1",0.46875
6,Baseline,,0.5
