Evaluation,Model,Parameter,Accuracy
1,ANN,"layers=6, neuron1=200, neuron2=100, use_svm=True, use_transfer_learning=True, learning_rate=decrease, model=1",0.5
1,Baseline,,0.5
2,ANN,"layers=6, neuron1=200, neuron2=100, use_svm=True, use_transfer_learning=True, learning_rate=decrease, model=1",0.4642857142857143
2,Baseline,,0.5
3,ANN,"layers=6, neuron1=200, neuron2=100, use_svm=True, use_transfer_learning=True, learning_rate=decrease, model=1",0.5862068965517242
3,Baseline,,0.5517241379310345
4,ANN,"layers=6, neuron1=200, neuron2=100, use_svm=True, use_transfer_learning=True, learning_rate=decrease, model=1",0.5862068965517242
4,Baseline,,0.5517241379310345
5,ANN,"layers=6, neuron1=200, neuron2=100, use_svm=True, use_transfer_learning=True, learning_rate=decrease, model=1",0.4482758620689655
5,Baseline,,0.5517241379310345
6,ANN,"layers=6, neuron1=200, neuron2=100, use_svm=True, use_transfer_learning=True, learning_rate=decrease, model=1",0.46875
6,Baseline,,0.5
