Evaluation,Model,Parameter,Accuracy
1,SVM,"C=0.01, kernel=rbf, gamma=1e-09",0.37037037037037035
1,SVM,"C=0.01, gamma=1e-08, kernel=rbf",0.37037037037037035
1,SVM,"C=0.01, kernel=rbf, gamma=1e-07",0.37037037037037035
1,SVM,"C=0.01, gamma=1e-06, kernel=rbf",0.37037037037037035
1,SVM,"C=0.01, gamma=1e-05, kernel=rbf",0.37037037037037035
1,SVM,"C=0.01, kernel=rbf, gamma=0.0001",0.37037037037037035
1,SVM,"C=0.01, kernel=rbf, gamma=0.001",0.37037037037037035
1,SVM,"C=0.01, kernel=rbf, gamma=0.01",0.37037037037037035
1,SVM,"C=0.01, kernel=rbf, gamma=0.1",0.37037037037037035
1,SVM,"gamma=1.0, C=0.01, kernel=rbf",0.37037037037037035
1,SVM,"C=0.01, kernel=rbf, gamma=10.0",0.37037037037037035
1,SVM,"C=0.01, kernel=rbf, gamma=100.0",0.37037037037037035
1,SVM,"C=0.01, kernel=rbf, gamma=1000.0",0.37037037037037035
1,SVM,"C=0.1, kernel=rbf, gamma=1e-09",0.37037037037037035
1,SVM,"gamma=1e-08, C=0.1, kernel=rbf",0.37037037037037035
1,SVM,"C=0.1, kernel=rbf, gamma=1e-07",0.37037037037037035
1,SVM,"C=0.1, gamma=1e-06, kernel=rbf",0.37037037037037035
1,SVM,"gamma=1e-05, C=0.1, kernel=rbf",0.37037037037037035
1,SVM,"C=0.1, kernel=rbf, gamma=0.0001",0.37037037037037035
1,SVM,"gamma=0.001, C=0.1, kernel=rbf",0.37037037037037035
1,SVM,"C=0.1, kernel=rbf, gamma=0.01",0.37037037037037035
1,SVM,"C=0.1, kernel=rbf, gamma=0.1",0.37037037037037035
1,SVM,"gamma=1.0, C=0.1, kernel=rbf",0.37037037037037035
1,SVM,"C=0.1, kernel=rbf, gamma=10.0",0.37037037037037035
1,SVM,"C=0.1, kernel=rbf, gamma=100.0",0.37037037037037035
1,SVM,"C=0.1, kernel=rbf, gamma=1000.0",0.37037037037037035
1,SVM,"kernel=rbf, gamma=1e-09, C=1.0",0.37037037037037035
1,SVM,"gamma=1e-08, kernel=rbf, C=1.0",0.37037037037037035
1,SVM,"kernel=rbf, gamma=1e-07, C=1.0",0.37037037037037035
1,SVM,"gamma=1e-06, kernel=rbf, C=1.0",0.37037037037037035
1,SVM,"gamma=1e-05, kernel=rbf, C=1.0",0.37037037037037035
1,SVM,"kernel=rbf, gamma=0.0001, C=1.0",0.37037037037037035
1,SVM,"gamma=0.001, kernel=rbf, C=1.0",0.37037037037037035
1,SVM,"kernel=rbf, gamma=0.01, C=1.0",0.37037037037037035
1,SVM,"kernel=rbf, gamma=0.1, C=1.0",0.37037037037037035
1,SVM,"gamma=1.0, kernel=rbf, C=1.0",0.37037037037037035
1,SVM,"kernel=rbf, gamma=10.0, C=1.0",0.37037037037037035
1,SVM,"kernel=rbf, gamma=100.0, C=1.0",0.37037037037037035
1,SVM,"kernel=rbf, gamma=1000.0, C=1.0",0.37037037037037035
1,SVM,"C=10.0, kernel=rbf, gamma=1e-09",0.37037037037037035
