Model 1,Model 2,P-value,Statistic
ANN,CNN,0.210113525390625,5.0
ANN,SVM,0.75390625,4.0
ANN,Baseline,0.453125,2.0
ANN,PosNeg,0.332305908203125,6.0
ANN,Mean,0.266845703125,4.0
CNN,SVM,0.3876953125,4.0
CNN,Baseline,0.548828125,4.0
CNN,PosNeg,1.0,8.0
CNN,Mean,1.0,6.0
SVM,Baseline,1.0,4.0
SVM,PosNeg,0.6476058959960938,8.0
SVM,Mean,0.6072387695312499,6.0
Baseline,PosNeg,0.8145294189453125,8.0
Baseline,Mean,0.79052734375,6.0
PosNeg,Mean,1.0,3.0
