Model 1,Model 2,P-value,Statistic
ANN,CNN,0.2220528201560228,17.0
ANN,SVM,0.6636238098144531,9.0
ANN,Baseline,0.332305908203125,6.0
ANN,Mean,0.03468966484069824,6.0
CNN,SVM,0.36159460805356514,12.0
CNN,Baseline,0.6075913612730801,15.0
CNN,Mean,0.860050065908581,15.0
SVM,Baseline,0.79052734375,6.0
SVM,Mean,0.16863754391670227,9.0
Baseline,Mean,0.30745625495910645,9.0
