ANN,Baseline
0.6382978723404256,0.5106382978723404
0.3541666666666667,0.5
0.5135135135135135,0.4594594594594595
0.5652173913043478,0.43478260869565216
0.4583333333333333,0.5
0.5106382978723404,0.5106382978723404
0.5625,0.5
0.4166666666666667,0.5
0.4375,0.5
0.5,0.5
0.42857142857142855,0.2857142857142857
0.4791666666666667,0.5
0.4791666666666667,0.5
0.5416666666666666,0.5
0.5,0.5
0.4583333333333333,0.5
0.5,0.5
0.5416666666666666,0.5
0.5416666666666666,0.5
0.5319148936170213,0.5106382978723404
0.6041666666666666,0.5
0.0,0.0
0.5652173913043478,0.4782608695652174
0.5,0.5
0.4888888888888889,0.5111111111111111
0.5,0.5
0.4583333333333333,0.5
0.5208333333333334,0.5
0.5833333333333334,0.5
0.5416666666666666,0.5
0.5208333333333334,0.5
0.4583333333333333,0.5
0.5625,0.5
0.4473684210526316,0.5
0.5208333333333334,0.5
0.5652173913043478,0.5
