Evaluation,Model,Parameter,Accuracy
1,ANN,"layers=4, neurons2=1, neurons1=1",0.758064531510876
1,ANN,"neurons2=1, layers=6, neurons1=1",0.6774193497915422
1,ANN,"layers=4, neurons2=2, neurons1=1",0.8024193726239666
1,ANN,"neurons2=2, layers=6, neurons1=1",0.6774193497915421
1,ANN,"layers=4, neurons2=1, neurons1=2",0.7822580565848658
1,ANN,"neurons2=1, layers=6, neurons1=2",0.6895161182168991
1,ANN,"layers=4, neurons2=2, neurons1=2",0.8104838613540895
1,ANN,"neurons2=2, layers=6, neurons1=2",0.7620967876526618
2,ANN,"layers=4, neurons2=1, neurons1=1",0.7862903245033755
2,ANN,"neurons2=1, layers=6, neurons1=1",0.7056451545607659
2,ANN,"layers=4, neurons2=2, neurons1=1",0.7822580565848658
2,ANN,"neurons2=2, layers=6, neurons1=1",0.6733870818730322
2,ANN,"layers=4, neurons2=1, neurons1=2",0.78225806836159
2,ANN,"neurons2=1, layers=6, neurons1=2",0.6975806422771946
2,ANN,"layers=4, neurons2=2, neurons1=2",0.7943548367869468
2,ANN,"neurons2=2, layers=6, neurons1=2",0.7258064470464183
3,ANN,"layers=4, neurons2=1, neurons1=1",0.7753164530554904
3,ANN,"neurons2=1, layers=6, neurons1=1",0.6835443185100073
3,ANN,"layers=4, neurons2=2, neurons1=1",0.7246835548666459
3,ANN,"neurons2=2, layers=6, neurons1=1",0.6803797645659386
3,ANN,"layers=4, neurons2=1, neurons1=2",0.7911392344704158
3,ANN,"neurons2=1, layers=6, neurons1=2",0.6772152106218701
3,ANN,"layers=4, neurons2=2, neurons1=2",0.7943037884144843
3,ANN,"neurons2=2, layers=6, neurons1=2",0.7215190009225774
4,ANN,"layers=4, neurons2=1, neurons1=1",0.7910958944934687
4,ANN,"neurons2=1, layers=6, neurons1=1",0.6678081926417677
4,ANN,"layers=4, neurons2=2, neurons1=1",0.7636986313617392
4,ANN,"neurons2=2, layers=6, neurons1=1",0.7123287467107381
4,ANN,"layers=4, neurons2=1, neurons1=2",0.8047945201396942
4,ANN,"neurons2=1, layers=6, neurons1=2",0.7397260216817464
4,ANN,"layers=4, neurons2=2, neurons1=2",0.784246563911438
4,ANN,"neurons2=2, layers=6, neurons1=2",0.7808219104597014
5,ANN,"layers=4, neurons2=1, neurons1=1",0.8104838731308137
5,ANN,"neurons2=1, layers=6, neurons1=1",0.6451612771038086
5,ANN,"layers=4, neurons2=2, neurons1=1",0.7580645197341519
5,ANN,"neurons2=2, layers=6, neurons1=1",0.7661290437944474
5,ANN,"layers=4, neurons2=1, neurons1=2",0.78225806836159
5,ANN,"neurons2=1, layers=6, neurons1=2",0.7338709593299897
5,ANN,"layers=4, neurons2=2, neurons1=2",0.7661290320177231
5,ANN,"neurons2=2, layers=6, neurons1=2",0.7056451545607658
