Evaluation,Model,Parameter,Accuracy
1,ANN,"model=1, layers=6, use_svm=True, neuron2=100, use_transfer_learning=True, learning_rate=decrease, neuron1=200",0.3571428571428571
1,Baseline,,0.5
2,ANN,"model=1, layers=6, use_svm=True, neuron2=100, use_transfer_learning=True, learning_rate=decrease, neuron1=200",0.39285714285714285
2,Baseline,,0.5
3,ANN,"model=1, layers=6, use_svm=True, neuron2=100, use_transfer_learning=True, learning_rate=decrease, neuron1=200",0.5517241379310345
3,Baseline,,0.5517241379310345
4,ANN,"model=1, layers=6, use_svm=True, neuron2=100, use_transfer_learning=True, learning_rate=decrease, neuron1=200",0.4482758620689655
4,Baseline,,0.5517241379310345
5,ANN,"model=1, layers=6, use_svm=True, neuron2=100, use_transfer_learning=True, learning_rate=decrease, neuron1=200",0.4482758620689655
5,Baseline,,0.5517241379310345
6,ANN,"model=1, layers=6, use_svm=True, neuron2=100, use_transfer_learning=True, learning_rate=decrease, neuron1=200",0.4375
6,Baseline,,0.5
