Evaluation,Model,Parameter,Accuracy
1,ANN,"layers=6, neuron1=200, model=1, use_transfer_learning=True, use_svm=True, learning_rate=decrease, neuron2=100",0.2857142857142857
1,Baseline,,0.35714285714285704
2,ANN,"layers=6, neuron1=200, model=1, use_transfer_learning=True, use_svm=True, learning_rate=decrease, neuron2=100",0.24999999999999997
2,Baseline,,0.35714285714285704
3,ANN,"layers=6, neuron1=200, model=1, use_transfer_learning=True, use_svm=True, learning_rate=decrease, neuron2=100",0.4137931034482759
3,Baseline,,0.34482758620689663
4,ANN,"layers=6, neuron1=200, model=1, use_transfer_learning=True, use_svm=True, learning_rate=decrease, neuron2=100",0.3448275862068966
4,Baseline,,0.34482758620689663
5,ANN,"layers=6, neuron1=200, model=1, use_transfer_learning=True, use_svm=True, learning_rate=decrease, neuron2=100",0.20689655172413796
5,Baseline,,0.34482758620689663
6,ANN,"layers=6, neuron1=200, model=1, use_transfer_learning=True, use_svm=True, learning_rate=decrease, neuron2=100",0.28125
6,Baseline,,0.3125
