Evaluation,Model,Parameter,Accuracy
1,ANN,"neuron1=200, layers=6, use_transfer_learning=True, learning_rate=decrease, use_svm=True, neuron2=100, model=1",0.39285714285714285
1,Baseline,,0.5
2,ANN,"neuron1=200, layers=6, use_transfer_learning=True, learning_rate=decrease, use_svm=True, neuron2=100, model=1",0.35714285714285715
2,Baseline,,0.5
3,ANN,"neuron1=200, layers=6, use_transfer_learning=True, learning_rate=decrease, use_svm=True, neuron2=100, model=1",0.5517241379310345
3,Baseline,,0.5517241379310345
4,ANN,"neuron1=200, layers=6, use_transfer_learning=True, learning_rate=decrease, use_svm=True, neuron2=100, model=1",0.48275862068965514
4,Baseline,,0.5517241379310345
5,ANN,"neuron1=200, layers=6, use_transfer_learning=True, learning_rate=decrease, use_svm=True, neuron2=100, model=1",0.5517241379310345
5,Baseline,,0.5517241379310345
6,ANN,"neuron1=200, layers=6, use_transfer_learning=True, learning_rate=decrease, use_svm=True, neuron2=100, model=1",0.4375
6,Baseline,,0.5
