Evaluation,Model,Parameter,Accuracy
1,SVM,"gamma=1000, C=1000000000.0, coef0=0, degree=1, kernel=rbf",0.5006501950585176
1,Baseline,,0.5006501950585176
2,SVM,"gamma=1000, C=1000000000.0, coef0=0, degree=1, kernel=rbf",0.5009759271307742
2,Baseline,,0.5009759271307742
3,SVM,"gamma=1000, C=1000000000.0, coef0=0, degree=1, kernel=rbf",0.5012919896640827
3,Baseline,,0.5012919896640827
4,SVM,"gamma=1000, C=1000000000.0, coef0=0, degree=1, kernel=rbf",0.499359795134443
4,Baseline,,0.499359795134443
5,SVM,"gamma=1000, C=1000000000.0, coef0=0, degree=1, kernel=rbf",0.5009759271307742
5,Baseline,,0.5009759271307742
6,SVM,"gamma=1000, C=1000000000.0, coef0=0, degree=1, kernel=rbf",0.5006501950585176
6,Baseline,,0.5006501950585176
7,SVM,"gamma=1000, C=1000000000.0, coef0=0, degree=1, kernel=rbf",0.5009759271307742
7,Baseline,,0.5009759271307742
8,SVM,"gamma=1000, C=1000000000.0, coef0=0, degree=1, kernel=rbf",0.5009759271307742
8,Baseline,,0.5009759271307742
9,SVM,"gamma=1000, C=1000000000.0, coef0=0, degree=1, kernel=rbf",0.5009759271307742
9,Baseline,,0.5009759271307742
10,SVM,"gamma=1000, C=1000000000.0, coef0=0, degree=1, kernel=rbf",0.5009759271307742
10,Baseline,,0.5009759271307742
11,SVM,"gamma=1000, C=1000000000.0, coef0=0, degree=1, kernel=rbf",0.5009511731135067
11,Baseline,,0.5009511731135067
12,SVM,"gamma=1000, C=1000000000.0, coef0=0, degree=1, kernel=rbf",0.5009759271307742
12,Baseline,,0.5009759271307742
13,SVM,"gamma=1000, C=1000000000.0, coef0=0, degree=1, kernel=rbf",0.5009759271307742
13,Baseline,,0.5009759271307742
14,SVM,"gamma=1000, C=1000000000.0, coef0=0, degree=1, kernel=rbf",0.5009759271307742
14,Baseline,,0.5009759271307742
15,SVM,"gamma=1000, C=1000000000.0, coef0=0, degree=1, kernel=rbf",0.5009759271307742
15,Baseline,,0.5009759271307742
16,SVM,"gamma=1000, C=1000000000.0, coef0=0, degree=1, kernel=rbf",0.5009759271307742
16,Baseline,,0.5009759271307742
17,SVM,"gamma=1000, C=1000000000.0, coef0=0, degree=1, kernel=rbf",0.5009759271307742
17,Baseline,,0.5009759271307742
18,SVM,"gamma=1000, C=1000000000.0, coef0=0, degree=1, kernel=rbf",0.5009759271307742
18,Baseline,,0.5009759271307742
19,SVM,"gamma=1000, C=1000000000.0, coef0=0, degree=1, kernel=rbf",0.5009759271307742
19,Baseline,,0.5009759271307742
20,SVM,"gamma=1000, C=1000000000.0, coef0=0, degree=1, kernel=rbf",0.5006501950585176
20,Baseline,,0.5006501950585176
21,SVM,"gamma=1000, C=1000000000.0, coef0=0, degree=1, kernel=rbf",0.5009759271307742
21,Baseline,,0.5009759271307742
22,SVM,"gamma=1000, C=1000000000.0, coef0=0, degree=1, kernel=rbf",0.5012626262626263
22,Baseline,,0.5012626262626263
23,SVM,"gamma=1000, C=1000000000.0, coef0=0, degree=1, kernel=rbf",0.49902534113060426
23,Baseline,,0.49902534113060426
24,SVM,"gamma=1000, C=1000000000.0, coef0=0, degree=1, kernel=rbf",0.5009759271307742
24,Baseline,,0.5009759271307742
25,SVM,"gamma=1000, C=1000000000.0, coef0=0, degree=1, kernel=rbf",0.5000000000000001
25,Baseline,,0.5000000000000001
26,SVM,"gamma=1000, C=1000000000.0, coef0=0, degree=1, kernel=rbf",0.5009759271307742
26,Baseline,,0.5009759271307742
27,SVM,"gamma=1000, C=1000000000.0, coef0=0, degree=1, kernel=rbf",0.5009759271307742
27,Baseline,,0.5009759271307742
28,SVM,"gamma=1000, C=1000000000.0, coef0=0, degree=1, kernel=rbf",0.5009759271307742
28,Baseline,,0.5009759271307742
29,SVM,"gamma=1000, C=1000000000.0, coef0=0, degree=1, kernel=rbf",0.5009759271307742
29,Baseline,,0.5009759271307742
30,SVM,"gamma=1000, C=1000000000.0, coef0=0, degree=1, kernel=rbf",0.5009759271307742
30,Baseline,,0.5009759271307742
31,SVM,"gamma=1000, C=1000000000.0, coef0=0, degree=1, kernel=rbf",0.5009759271307742
31,Baseline,,0.5009759271307742
32,SVM,"gamma=1000, C=1000000000.0, coef0=0, degree=1, kernel=rbf",0.5009759271307742
32,Baseline,,0.5009759271307742
33,SVM,"gamma=1000, C=1000000000.0, coef0=0, degree=1, kernel=rbf",0.5009759271307742
33,Baseline,,0.5009759271307742
34,SVM,"gamma=1000, C=1000000000.0, coef0=0, degree=1, kernel=rbf",0.5003232062055591
34,Baseline,,0.5003232062055591
35,SVM,"gamma=1000, C=1000000000.0, coef0=0, degree=1, kernel=rbf",0.5009759271307742
35,Baseline,,0.5009759271307742
36,SVM,"gamma=1000, C=1000000000.0, coef0=0, degree=1, kernel=rbf",0.5003248862897987
36,Baseline,,0.5003248862897987
