Parameter,Count
"('gamma', '1000.0')",5
"('C', '10000.0')",3
"('kernel', 'rbf')",15
"('degree', '2')",15
"('gamma', '10.0')",8
"('C', '10000000.0')",5
"('gamma', '100.0')",2
"('C', '100000.0')",3
"('C', '1000000.0')",4
