Evaluation,Model,Parameter,Accuracy
1,SVM,"gamma=1000, kernel=rbf, C=1000000000.0, coef0=0, degree=1",0.5
1,Baseline,,0.5
2,SVM,"gamma=1000, kernel=rbf, C=1000000000.0, coef0=0, degree=1",0.49901768172888017
2,Baseline,,0.49901768172888017
3,SVM,"gamma=1000, kernel=rbf, C=1000000000.0, coef0=0, degree=1",0.5003248862897987
3,Baseline,,0.5003248862897987
4,SVM,"gamma=1000, kernel=rbf, C=1000000000.0, coef0=0, degree=1",0.4996780424983902
4,Baseline,,0.4996780424983902
5,SVM,"gamma=1000, kernel=rbf, C=1000000000.0, coef0=0, degree=1",0.49901768172888017
5,Baseline,,0.49901768172888017
6,SVM,"gamma=1000, kernel=rbf, C=1000000000.0, coef0=0, degree=1",0.5
6,Baseline,,0.5
7,SVM,"gamma=1000, kernel=rbf, C=1000000000.0, coef0=0, degree=1",0.49901768172888017
7,Baseline,,0.49901768172888017
8,SVM,"gamma=1000, kernel=rbf, C=1000000000.0, coef0=0, degree=1",0.49901768172888017
8,Baseline,,0.49901768172888017
9,SVM,"gamma=1000, kernel=rbf, C=1000000000.0, coef0=0, degree=1",0.49901768172888017
9,Baseline,,0.49901768172888017
10,SVM,"gamma=1000, kernel=rbf, C=1000000000.0, coef0=0, degree=1",0.49901768172888017
10,Baseline,,0.49901768172888017
11,SVM,"gamma=1000, kernel=rbf, C=1000000000.0, coef0=0, degree=1",0.5012755102040817
11,Baseline,,0.5012755102040817
12,SVM,"gamma=1000, kernel=rbf, C=1000000000.0, coef0=0, degree=1",0.49901768172888017
12,Baseline,,0.49901768172888017
13,SVM,"gamma=1000, kernel=rbf, C=1000000000.0, coef0=0, degree=1",0.49901768172888017
13,Baseline,,0.49901768172888017
14,SVM,"gamma=1000, kernel=rbf, C=1000000000.0, coef0=0, degree=1",0.49901768172888017
14,Baseline,,0.49901768172888017
15,SVM,"gamma=1000, kernel=rbf, C=1000000000.0, coef0=0, degree=1",0.49901768172888017
15,Baseline,,0.49901768172888017
16,SVM,"gamma=1000, kernel=rbf, C=1000000000.0, coef0=0, degree=1",0.49901768172888017
16,Baseline,,0.49901768172888017
17,SVM,"gamma=1000, kernel=rbf, C=1000000000.0, coef0=0, degree=1",0.49901768172888017
17,Baseline,,0.49901768172888017
18,SVM,"gamma=1000, kernel=rbf, C=1000000000.0, coef0=0, degree=1",0.49901768172888017
18,Baseline,,0.49901768172888017
19,SVM,"gamma=1000, kernel=rbf, C=1000000000.0, coef0=0, degree=1",0.49901768172888017
19,Baseline,,0.49901768172888017
20,SVM,"gamma=1000, kernel=rbf, C=1000000000.0, coef0=0, degree=1",0.5
20,Baseline,,0.5
21,SVM,"gamma=1000, kernel=rbf, C=1000000000.0, coef0=0, degree=1",0.49901768172888017
21,Baseline,,0.49901768172888017
22,SVM,"gamma=1000, kernel=rbf, C=1000000000.0, coef0=0, degree=1",0.5
22,Baseline,,0.5
23,SVM,"gamma=1000, kernel=rbf, C=1000000000.0, coef0=0, degree=1",0.49901768172888017
23,Baseline,,0.49901768172888017
24,SVM,"gamma=1000, kernel=rbf, C=1000000000.0, coef0=0, degree=1",0.49967384213959554
24,Baseline,,0.49967384213959554
25,SVM,"gamma=1000, kernel=rbf, C=1000000000.0, coef0=0, degree=1",0.49901768172888017
25,Baseline,,0.49901768172888017
26,SVM,"gamma=1000, kernel=rbf, C=1000000000.0, coef0=0, degree=1",0.49901768172888017
26,Baseline,,0.49901768172888017
27,SVM,"gamma=1000, kernel=rbf, C=1000000000.0, coef0=0, degree=1",0.49901768172888017
27,Baseline,,0.49901768172888017
28,SVM,"gamma=1000, kernel=rbf, C=1000000000.0, coef0=0, degree=1",0.49901768172888017
28,Baseline,,0.49901768172888017
29,SVM,"gamma=1000, kernel=rbf, C=1000000000.0, coef0=0, degree=1",0.49901768172888017
29,Baseline,,0.49901768172888017
30,SVM,"gamma=1000, kernel=rbf, C=1000000000.0, coef0=0, degree=1",0.49901768172888017
30,Baseline,,0.49901768172888017
31,SVM,"gamma=1000, kernel=rbf, C=1000000000.0, coef0=0, degree=1",0.49901768172888017
31,Baseline,,0.49901768172888017
32,SVM,"gamma=1000, kernel=rbf, C=1000000000.0, coef0=0, degree=1",0.49901768172888017
32,Baseline,,0.49901768172888017
33,SVM,"gamma=1000, kernel=rbf, C=1000000000.0, coef0=0, degree=1",0.4996746909564086
33,Baseline,,0.4996746909564086
34,SVM,"gamma=1000, kernel=rbf, C=1000000000.0, coef0=0, degree=1",0.49901768172888017
34,Baseline,,0.49901768172888017
35,SVM,"gamma=1000, kernel=rbf, C=1000000000.0, coef0=0, degree=1",0.499672988881622
35,Baseline,,0.499672988881622
