Evaluation,Model,Parameter,Accuracy
1,SVM,"degree=1, C=1000000000.0, gamma=1000, kernel=rbf, coef0=0",0.4996746909564086
1,Baseline,,0.4996746909564086
2,SVM,"degree=1, C=1000000000.0, gamma=1000, kernel=rbf, coef0=0",0.5000000000000001
2,Baseline,,0.5000000000000001
3,SVM,"degree=1, C=1000000000.0, gamma=1000, kernel=rbf, coef0=0",0.5016160310277957
3,Baseline,,0.5016160310277957
4,SVM,"degree=1, C=1000000000.0, gamma=1000, kernel=rbf, coef0=0",0.4996796925048046
4,Baseline,,0.4996796925048046
5,SVM,"degree=1, C=1000000000.0, gamma=1000, kernel=rbf, coef0=0",0.5000000000000001
5,Baseline,,0.5000000000000001
6,SVM,"degree=1, C=1000000000.0, gamma=1000, kernel=rbf, coef0=0",0.4996746909564086
6,Baseline,,0.4996746909564086
7,SVM,"degree=1, C=1000000000.0, gamma=1000, kernel=rbf, coef0=0",0.5000000000000001
7,Baseline,,0.5000000000000001
8,SVM,"degree=1, C=1000000000.0, gamma=1000, kernel=rbf, coef0=0",0.5000000000000001
8,Baseline,,0.5000000000000001
9,SVM,"degree=1, C=1000000000.0, gamma=1000, kernel=rbf, coef0=0",0.5000000000000001
9,Baseline,,0.5000000000000001
10,SVM,"degree=1, C=1000000000.0, gamma=1000, kernel=rbf, coef0=0",0.5000000000000001
10,Baseline,,0.5000000000000001
11,SVM,"degree=1, C=1000000000.0, gamma=1000, kernel=rbf, coef0=0",0.5009511731135067
11,Baseline,,0.5009511731135067
12,SVM,"degree=1, C=1000000000.0, gamma=1000, kernel=rbf, coef0=0",0.5000000000000001
12,Baseline,,0.5000000000000001
13,SVM,"degree=1, C=1000000000.0, gamma=1000, kernel=rbf, coef0=0",0.5000000000000001
13,Baseline,,0.5000000000000001
14,SVM,"degree=1, C=1000000000.0, gamma=1000, kernel=rbf, coef0=0",0.5000000000000001
14,Baseline,,0.5000000000000001
15,SVM,"degree=1, C=1000000000.0, gamma=1000, kernel=rbf, coef0=0",0.5000000000000001
15,Baseline,,0.5000000000000001
16,SVM,"degree=1, C=1000000000.0, gamma=1000, kernel=rbf, coef0=0",0.5000000000000001
16,Baseline,,0.5000000000000001
17,SVM,"degree=1, C=1000000000.0, gamma=1000, kernel=rbf, coef0=0",0.5000000000000001
17,Baseline,,0.5000000000000001
18,SVM,"degree=1, C=1000000000.0, gamma=1000, kernel=rbf, coef0=0",0.5000000000000001
18,Baseline,,0.5000000000000001
19,SVM,"degree=1, C=1000000000.0, gamma=1000, kernel=rbf, coef0=0",0.5000000000000001
19,Baseline,,0.5000000000000001
20,SVM,"degree=1, C=1000000000.0, gamma=1000, kernel=rbf, coef0=0",0.4996746909564086
20,Baseline,,0.4996746909564086
21,SVM,"degree=1, C=1000000000.0, gamma=1000, kernel=rbf, coef0=0",0.5000000000000001
21,Baseline,,0.5000000000000001
22,SVM,"degree=1, C=1000000000.0, gamma=1000, kernel=rbf, coef0=0",0.5003158559696779
22,Baseline,,0.5003158559696779
23,SVM,"degree=1, C=1000000000.0, gamma=1000, kernel=rbf, coef0=0",0.49934980494148246
23,Baseline,,0.49934980494148246
24,SVM,"degree=1, C=1000000000.0, gamma=1000, kernel=rbf, coef0=0",0.5000000000000001
24,Baseline,,0.5000000000000001
25,SVM,"degree=1, C=1000000000.0, gamma=1000, kernel=rbf, coef0=0",0.49902534113060426
25,Baseline,,0.49902534113060426
26,SVM,"degree=1, C=1000000000.0, gamma=1000, kernel=rbf, coef0=0",0.5000000000000001
26,Baseline,,0.5000000000000001
27,SVM,"degree=1, C=1000000000.0, gamma=1000, kernel=rbf, coef0=0",0.5000000000000001
27,Baseline,,0.5000000000000001
28,SVM,"degree=1, C=1000000000.0, gamma=1000, kernel=rbf, coef0=0",0.5000000000000001
28,Baseline,,0.5000000000000001
29,SVM,"degree=1, C=1000000000.0, gamma=1000, kernel=rbf, coef0=0",0.5000000000000001
29,Baseline,,0.5000000000000001
30,SVM,"degree=1, C=1000000000.0, gamma=1000, kernel=rbf, coef0=0",0.5000000000000001
30,Baseline,,0.5000000000000001
31,SVM,"degree=1, C=1000000000.0, gamma=1000, kernel=rbf, coef0=0",0.5000000000000001
31,Baseline,,0.5000000000000001
32,SVM,"degree=1, C=1000000000.0, gamma=1000, kernel=rbf, coef0=0",0.5000000000000001
32,Baseline,,0.5000000000000001
33,SVM,"degree=1, C=1000000000.0, gamma=1000, kernel=rbf, coef0=0",0.5000000000000001
33,Baseline,,0.5000000000000001
34,SVM,"degree=1, C=1000000000.0, gamma=1000, kernel=rbf, coef0=0",0.500646830530401
34,Baseline,,0.500646830530401
35,SVM,"degree=1, C=1000000000.0, gamma=1000, kernel=rbf, coef0=0",0.5000000000000001
35,Baseline,,0.5000000000000001
36,SVM,"degree=1, C=1000000000.0, gamma=1000, kernel=rbf, coef0=0",0.5006501950585176
36,Baseline,,0.5006501950585176
