Evaluation,Model,Parameter,Accuracy
1,ANN,"neurons2=50, learning_rate=decrease, layers=4, neurons1=50",0.8185483971911092
1,ANN,"learning_rate=clr, neurons2=50, layers=4, neurons1=50",0.8387096779000375
1,ANN,"layers=6, neurons2=50, learning_rate=decrease, neurons1=50",0.8225806533328949
1,ANN,"layers=6, neurons2=50, learning_rate=clr, neurons1=50",0.8427419458185473
1,ANN,"neurons2=100, learning_rate=decrease, layers=4, neurons1=50",0.8266129094746806
1,ANN,"learning_rate=clr, neurons2=100, layers=4, neurons1=50",0.8548387142439041
1,ANN,"layers=6, neurons2=100, learning_rate=decrease, neurons1=50",0.8104838731308137
1,ANN,"layers=6, neurons2=100, learning_rate=clr, neurons1=50",0.8266129094746805
1,ANN,"neurons2=150, learning_rate=decrease, layers=4, neurons1=50",0.8104838731308137
1,ANN,"neurons2=150, layers=4, learning_rate=clr, neurons1=50",0.8508064581021186
1,ANN,"neurons2=150, learning_rate=decrease, layers=6, neurons1=50",0.8266129094746805
1,ANN,"neurons2=150, layers=6, learning_rate=clr, neurons1=50",0.8185483971911092
1,ANN,"learning_rate=decrease, layers=4, neurons1=50, neurons2=200",0.822580665109619
1,ANN,"learning_rate=clr, layers=4, neurons1=50, neurons2=200",0.8508064698788428
1,ANN,"layers=6, learning_rate=decrease, neurons1=50, neurons2=200",0.7862903362800999
1,ANN,"layers=6, learning_rate=clr, neurons1=50, neurons2=200",0.8467742019603329
1,ANN,"neurons2=50, learning_rate=decrease, neurons1=60, layers=4",0.8185483971911093
1,ANN,"learning_rate=clr, neurons2=50, neurons1=60, layers=4",0.8467742137370571
1,ANN,"layers=6, neurons2=50, learning_rate=decrease, neurons1=60",0.8104838731308137
1,ANN,"layers=6, neurons2=50, learning_rate=clr, neurons1=60",0.8427419458185472
1,ANN,"neurons2=100, learning_rate=decrease, neurons1=60, layers=4",0.8306451656164662
1,ANN,"learning_rate=clr, neurons2=100, neurons1=60, layers=4",0.8548387142439042
1,ANN,"layers=6, neurons2=100, learning_rate=decrease, neurons1=60",0.818548385414385
1,ANN,"layers=6, neurons2=100, learning_rate=clr, neurons1=60",0.8467742137370571
1,ANN,"neurons2=150, learning_rate=decrease, neurons1=60, layers=4",0.8225806415561706
1,ANN,"neurons2=150, learning_rate=clr, neurons1=60, layers=4",0.8387096779000375
1,ANN,"neurons2=150, learning_rate=decrease, layers=6, neurons1=60",0.8104838613540895
1,ANN,"neurons2=150, layers=6, neurons1=60, learning_rate=clr",0.8548387142439042
1,ANN,"learning_rate=decrease, neurons1=60, layers=4, neurons2=200",0.8185483854143849
1,ANN,"learning_rate=clr, neurons1=60, layers=4, neurons2=200",0.8548387142439042
1,ANN,"layers=6, learning_rate=decrease, neurons1=60, neurons2=200",0.8266129212514046
1,ANN,"layers=6, learning_rate=clr, neurons1=60, neurons2=200",0.8387096779000375
1,ANN,"neurons2=50, neurons1=70, layers=4, learning_rate=decrease",0.8225806533328949
1,ANN,"learning_rate=clr, neurons2=50, neurons1=70, layers=4",0.8588709703856898
1,ANN,"layers=6, neurons2=50, neurons1=70, learning_rate=decrease",0.806451616989028
1,ANN,"layers=6, neurons2=50, neurons1=70, learning_rate=clr",0.8427419458185473
1,ANN,"neurons2=100, neurons1=70, layers=4, learning_rate=decrease",0.8064516287657522
1,ANN,"learning_rate=clr, neurons2=100, neurons1=70, layers=4",0.8669354826692612
1,ANN,"layers=6, neurons2=100, neurons1=70, learning_rate=decrease",0.8346774217582518
1,ANN,"layers=6, neurons2=100, neurons1=70, learning_rate=clr",0.8225806415561707
1,ANN,"neurons2=150, neurons1=70, layers=4, learning_rate=decrease",0.8145161292725993
1,ANN,"neurons2=150, neurons1=70, learning_rate=clr, layers=4",0.8508064581021185
1,ANN,"neurons2=150, neurons1=70, layers=6, learning_rate=decrease",0.8306451773931903
1,ANN,"neurons2=150, neurons1=70, layers=6, learning_rate=clr",0.8387096779000374
1,ANN,"learning_rate=decrease, neurons1=70, layers=4, neurons2=200",0.8306451656164662
1,ANN,"learning_rate=clr, neurons1=70, layers=4, neurons2=200",0.8548387142439042
1,ANN,"layers=6, learning_rate=decrease, neurons1=70, neurons2=200",0.8266129094746805
1,ANN,"layers=6, neurons1=70, learning_rate=clr, neurons2=200",0.8467742019603329
2,ANN,"neurons2=50, learning_rate=decrease, layers=4, neurons1=50",0.8306451773931903
2,ANN,"learning_rate=clr, neurons2=50, layers=4, neurons1=50",0.8629032265274754
2,ANN,"layers=6, neurons2=50, learning_rate=decrease, neurons1=50",0.8104838731308137
2,ANN,"layers=6, neurons2=50, learning_rate=clr, neurons1=50",0.8588709703856898
2,ANN,"neurons2=100, learning_rate=decrease, layers=4, neurons1=50",0.8306451656164662
2,ANN,"learning_rate=clr, neurons2=100, layers=4, neurons1=50",0.8669354826692611
