Evaluation,Model,Parameter,Accuracy
1,ANN,"neuron2=300, learning_rate=decrease, layers=8, neuron1=128",0.5555555555555556
2,ANN,"learning_rate=decrease, neuron2=100, layers=8, neuron1=60",0.5555555555555556
3,ANN,"neuron2=300, layers=6, learning_rate=decrease, neuron1=128",0.5357142857142856
4,ANN,"learning_rate=decrease, neuron2=100, layers=8, neuron1=60",0.4642857142857142
5,ANN,"learning_rate=clr, neuron2=100, layers=8, neuron1=60",0.3928571428571428
6,ANN,"neuron2=100, learning_rate=decrease, layers=8, neuron1=128",0.40625
